Fever,Respiratory rate,SpO2,CRP,Possibility
1.25,3.33333333333333,0.714285714285714,1.28571428571429,Mild
1.25,2,0.714285714285714,0.642857142857143,Mild
1.25,1.33333333333333,1.78571428571428,1.5,Mild
0,0.666666666666667,0.357142857142856,1.21428571428571,Mild
1.25,2,0.357142857142856,1.78571428571429,Mild
1.25,1.33333333333333,0,0.5,Mild
2.5,2.66666666666667,0.714285714285714,0.642857142857143,Mild
1.25,3.33333333333333,0.357142857142856,1.85714285714286,Mild
1.25,2,1.42857142857143,0,Mild
2.5,3.33333333333333,1.42857142857143,0.357142857142857,Mild
0,2.66666666666667,0.714285714285714,2,Mild
0,3.33333333333333,1.07142857142857,1.92857142857143,Mild
1.25,2,1.78571428571428,0.5,Mild
2.5,2,0,1.64285714285714,Mild
1.25,3.33333333333333,1.07142857142857,0.357142857142857,Mild
0,2.66666666666667,0,1.64285714285714,Mild
2.5,2.66666666666667,0.714285714285714,0.857142857142857,Mild
2.5,2.66666666666667,1.78571428571428,0.214285714285714,Mild
2.5,3.33333333333333,1.07142857142857,0.785714285714286,Mild
0,2.66666666666667,0.714285714285714,1.64285714285714,Mild
0,0.666666666666667,0.357142857142856,2.07142857142857,Mild
2.5,2,0.714285714285714,0.5,Mild
1.25,2,0,0.714285714285714,Mild
1.25,0.666666666666667,1.42857142857143,0.357142857142857,Mild
0,0.666666666666667,1.07142857142857,0.214285714285714,Mild
0,3.33333333333333,0.714285714285714,1.57142857142857,Mild
0,2.66666666666667,0.714285714285714,1.71428571428571,Mild
2.5,2,0,1.85714285714286,Mild
2.5,1.33333333333333,1.07142857142857,1.57142857142857,Mild
2.5,1.33333333333333,1.42857142857143,0.642857142857143,Mild
2.5,2,0.357142857142856,1.28571428571429,Mild
1.25,2,0.714285714285714,1.85714285714286,Mild
1.25,1.33333333333333,1.42857142857143,1.5,Mild
0,2,0,0.428571428571429,Mild
0,2,1.07142857142857,1.42857142857143,Mild
2.5,1.33333333333333,1.78571428571428,2,Mild
2.5,0.666666666666667,0.714285714285714,1.71428571428571,Mild
0,2,0,2,Mild
1.25,0.666666666666667,0,0.714285714285714,Mild
0,2.66666666666667,1.07142857142857,0.785714285714286,Mild
2.5,0.666666666666667,0.357142857142856,1.71428571428571,Mild
0,2.66666666666667,1.42857142857143,1.57142857142857,Mild
1.25,1.33333333333333,0.357142857142856,0.785714285714286,Mild
0,3.33333333333333,0,1.28571428571429,Mild
1.25,2.66666666666667,1.07142857142857,0.928571428571429,Mild
1.25,3.33333333333333,1.42857142857143,1.64285714285714,Mild
1.25,2.66666666666667,0.714285714285714,0.428571428571429,Mild
1.25,1.33333333333333,0.714285714285714,0.285714285714286,Mild
1.25,3.33333333333333,1.07142857142857,0.857142857142857,Mild
0,1.33333333333333,0.357142857142856,0.428571428571429,Mild
6.25,6,3.92857142857143,6.14285714285714,Moderate
3.75,4,2.85714285714286,5.85714285714286,Moderate
3.75,6,3.92857142857143,5.42857142857143,Moderate
5,4.66666666666667,2.85714285714286,2.35714285714286,Moderate
5,5.33333333333333,4.28571428571429,4.78571428571429,Moderate
5,5.33333333333333,3.57142857142857,6,Moderate
3.75,5.33333333333333,3.57142857142857,2.71428571428571,Moderate
5,5.33333333333333,2.5,6.42857142857143,Moderate
3.75,6,3.21428571428571,4.85714285714286,Moderate
5,4.66666666666667,3.92857142857143,3.07142857142857,Moderate
3.75,4.66666666666667,4.28571428571429,4.28571428571429,Moderate
5,4,3.92857142857143,4.14285714285714,Moderate
5,4,2.14285714285714,3.85714285714286,Moderate
6.25,4,2.5,4.07142857142857,Moderate
6.25,3.33333333333333,2.5,2.21428571428571,Moderate
5,4.66666666666667,3.21428571428571,2.71428571428571,Moderate
5,6,4.64285714285714,4.28571428571429,Moderate
3.75,4,3.21428571428571,3.28571428571429,Moderate
3.75,4,1.78571428571428,6.28571428571429,Moderate
3.75,5.33333333333333,3.57142857142857,3.21428571428571,Moderate
6.25,4,4.64285714285714,3.35714285714286,Moderate
3.75,3.33333333333333,2.5,2.35714285714286,Moderate
5,6,3.21428571428571,3.92857142857143,Moderate
3.75,4.66666666666667,4.28571428571429,5.21428571428571,Moderate
6.25,6,4.64285714285714,5.21428571428571,Moderate
6.25,6,3.57142857142857,4,Moderate
3.75,6,3.21428571428571,2.57142857142857,Moderate
3.75,4,3.57142857142857,6.42857142857143,Moderate
3.75,4.66666666666667,3.92857142857143,4.14285714285714,Moderate
6.25,5.33333333333333,2.85714285714286,6.28571428571429,Moderate
6.25,5.33333333333333,3.92857142857143,5.14285714285714,Moderate
5,5.33333333333333,3.21428571428571,4.71428571428571,Moderate
3.75,4.66666666666667,3.21428571428571,3.57142857142857,Moderate
6.25,4.66666666666667,2.14285714285714,5.35714285714286,Moderate
3.75,6,4.28571428571429,4.64285714285714,Moderate
6.25,6,2.5,2.78571428571429,Moderate
5,3.33333333333333,2.5,5,Moderate
6.25,4,2.85714285714286,3.64285714285714,Moderate
3.75,4,3.92857142857143,4.28571428571429,Moderate
5,6,1.78571428571428,4.14285714285714,Moderate
5,4.66666666666667,4.28571428571429,5.57142857142857,Moderate
3.75,6,2.85714285714286,4.07142857142857,Moderate
6.25,6,4.28571428571429,2.64285714285714,Moderate
3.75,4,4.64285714285714,3.28571428571429,Moderate
5,4,3.21428571428571,4.71428571428571,Moderate
5,6,3.21428571428571,2.14285714285714,Moderate
6.25,4.66666666666667,4.64285714285714,3.85714285714286,Moderate
6.25,4,3.21428571428571,2.35714285714286,Moderate
6.25,3.33333333333333,3.92857142857143,3.35714285714286,Moderate
6.25,5.33333333333333,3.21428571428571,5.28571428571429,Moderate
6.25,8,7.85714285714286,9.92857142857143,Severe
6.25,8,5.71428571428571,8,Severe
10,9.33333333333333,5.35714285714286,7.78571428571429,Severe
6.25,7.33333333333333,7.5,6.71428571428571,Severe
8.75,9.33333333333333,5.35714285714286,7.78571428571429,Severe
8.75,7.33333333333333,5,8.85714285714286,Severe
10,10,8.57142857142857,9.07142857142857,Severe
